iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,new_tests_smoothed,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
GBR,United Kingdom,2020-03-01,23,5,0,0,0.339,0.074,0.0,0.0,11750.0,1267.0,0.17300000000000001,0.019,775.0,0.011000000000000001,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-02,36,13,0,0,0.53,0.191,0.0,0.0,13525.0,1775.0,0.19899999999999998,0.026,998.0,0.015,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-03,40,4,0,0,0.589,0.059,0.0,0.0,13911.0,386.0,0.205,0.006,1017.0,0.015,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-04,51,11,0,0,0.751,0.162,0.0,0.0,16659.0,2748.0,0.245,0.04,1361.0,0.02,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-05,85,34,0,0,1.252,0.501,0.0,0.0,18083.0,1424.0,0.266,0.021,1485.0,0.022000000000000002,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-06,115,30,0,0,1.694,0.442,0.0,0.0,20338.0,2255.0,0.3,0.033,1622.0,0.024,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-07,163,48,1,1,2.401,0.707,0.015,0.015,21460.0,1122.0,0.316,0.017,1568.0,0.023,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-08,206,43,2,1,3.034,0.633,0.029,0.015,23513.0,2053.0,0.34600000000000003,0.03,1680.0,0.025,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-09,273,67,2,0,4.021,0.987,0.029,0.0,24960.0,1447.0,0.368,0.021,1634.0,0.024,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-10,321,48,3,1,4.729,0.707,0.044,0.015,26261.0,1301.0,0.387,0.019,1764.0,0.026000000000000002,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-11,373,52,7,4,5.495,0.766,0.103,0.059,27476.0,1215.0,0.405,0.018,1545.0,0.023,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-12,456,83,7,0,6.717,1.223,0.103,0.0,29764.0,2288.0,0.43799999999999994,0.034,1669.0,0.025,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-13,590,134,9,2,8.691,1.974,0.133,0.029,32771.0,3007.0,0.483,0.044,1776.0,0.026000000000000002,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-14,707,117,10,1,10.415,1.723,0.147,0.015,37746.0,4975.0,0.556,0.073,2327.0,0.034,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-15,1140,433,28,18,16.793,6.378,0.412,0.265,40279.0,2533.0,0.593,0.037,2395.0,0.035,people tested,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-16,1391,251,43,15,20.49,3.697,0.633,0.221,44105.0,3826.0,0.65,0.056,2735.0,0.04,people tested,16.93,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-17,1543,152,65,22,22.729,2.239,0.957,0.324,50442.0,6337.0,0.743,0.093,3454.0,0.051,people tested,24.07,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-18,1950,407,81,16,28.725,5.995,1.193,0.236,56221.0,5779.0,0.828,0.085,4106.0,0.06,people tested,24.07,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-19,2630,680,115,34,38.741,10.017,1.694,0.501,64621.0,8400.0,0.9520000000000001,0.124,4980.0,0.073,people tested,24.07,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-20,3277,647,158,43,48.272,9.531,2.327,0.633,66976.0,2355.0,0.987,0.035,4886.0,0.07200000000000001,people tested,24.07,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-21,3983,706,194,36,58.672,10.4,2.858,0.53,72818.0,5842.0,1.073,0.086,5010.0,0.07400000000000001,people tested,30.69,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-22,5018,1035,250,56,73.918,15.246,3.683,0.825,78340.0,5522.0,1.1540000000000001,0.081,5437.0,0.08,people tested,37.83,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-23,5683,665,285,35,83.714,9.796,4.198,0.516,83945.0,5605.0,1.237,0.083,5691.0,0.084,people tested,72.48,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-24,6650,967,359,74,97.958,14.244,5.288,1.09,90436.0,6491.0,1.3319999999999999,0.096,5713.0,0.084,people tested,72.48,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-25,8077,1427,508,149,118.979,21.021,7.483,2.195,97019.0,6583.0,1.429,0.097,5828.0,0.086,people tested,72.48,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-26,9529,1452,694,186,140.368,21.389,10.223,2.74,104866.0,7847.0,1.545,0.116,5749.0,0.085,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-27,11658,2129,877,183,171.729,31.361,12.919,2.696,113777.0,8911.0,1.676,0.131,6686.0,0.098,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-28,14543,2885,1161,284,214.227,42.498,17.102,4.183,120776.0,6999.0,1.7790000000000001,0.103,6851.0,0.10099999999999999,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-29,17089,2546,1455,294,251.731,37.504,21.433,4.331,127737.0,6961.0,1.882,0.103,7057.0,0.10400000000000001,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-30,19522,2433,1669,214,287.57,35.839,24.585,3.152,134946.0,7209.0,1.9880000000000002,0.106,7286.0,0.107,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-03-31,22141,2619,2043,374,326.15,38.579,30.095,5.509,143186.0,8240.0,2.109,0.121,7536.0,0.111,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-01,25150,3009,2425,382,370.474,44.324,35.722,5.627,152979.0,9793.0,2.253,0.144,7994.0,0.11800000000000001,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-02,29474,4324,3095,670,434.169,63.695,45.591,9.869,163194.0,10215.0,2.404,0.15,8333.0,0.12300000000000001,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-03,33718,4244,3747,652,496.686,62.517,55.195,9.604,173784.0,10590.0,2.56,0.156,8572.0,0.126,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-04,38168,4450,4461,714,562.237,65.551,65.713,10.518,183190.0,9406.0,2.698,0.139,8916.0,0.131,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-05,41903,3735,5221,760,617.255,55.019,76.908,11.195,195524.0,12334.0,2.88,0.182,9684.0,0.14300000000000002,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-06,47806,5903,5865,644,704.21,86.955,86.395,9.486,208837.0,13313.0,3.076,0.196,10556.0,0.155,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-07,51608,3802,6433,568,760.216,56.006,94.762,8.367,213181.0,4344.0,3.14,0.064,9999.0,0.147,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-08,55242,3634,7471,1038,813.747,53.531,110.052,15.29,232708.0,12959.0,3.428,0.191,11390.0,0.168,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-09,60733,5491,8505,1034,894.632,80.886,125.284,15.231,243421.0,10713.0,3.5860000000000003,0.158,11461.0,0.16899999999999998,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-10,65077,4344,9608,1103,958.622,63.99,141.531,16.248,256605.0,13543.0,3.78,0.199,11832.0,0.174,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
GBR,United Kingdom,2020-04-11,70272,5195,10760,1152,1035.147,76.525,158.501,16.97,269598.0,12993.0,3.971,0.191,12344.0,0.182,people tested,79.63,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
